time,open,high,low,close,Volume
5/29/01,37.05372368,37.50677908,37.00518492,37.39999316,9998800
6/4/01,37.57150821,38.18637026,37.31585046,37.66535283,4531000
6/11/01,37.57150821,37.57150821,35.7107317,36.0278695,1707000
6/18/01,36.12495349,36.71392971,35.74956206,36.33530214,2957200
6/25/01,36.40018677,36.8608665,35.70592296,36.65972464,863400
7/2/01,36.52995895,36.96468165,35.36203528,35.36203528,1751400
7/9/01,35.50153364,36.25095574,34.79753716,36.16985015,1610000
7/16/01,36.18931225,36.41316691,35.60211105,36.00114729,314400
7/23/01,36.09198555,36.13740467,34.64830612,35.84218034,946600
7/30/01,35.94599549,36.465068,35.65725961,36.10171822,462000
8/6/01,36.07576443,36.07576443,34.7618507,35.34906163,284400
8/13/01,35.43989988,35.65401214,34.49907185,34.59963953,250000
8/20/01,34.63208501,35.26146435,34.29793,35.26146435,551800
8/27/01,35.16737863,35.26470857,33.54851439,33.85347463,408800
9/4/01,33.85022716,34.41148106,32.28002303,32.28002303,341200
9/10/01,32.21513856,32.63689085,32.03670627,32.52333978,75200
9/17/01,30.57680573,31.50141265,28.15985928,28.72759838,1427000
9/24/01,29.62782849,30.9138716,29.38689564,30.9138716,1784200
10/1/01,30.6696862,32.22596114,30.37991952,31.67898585,3545000
10/8/01,31.4022424,32.64270097,31.22642891,32.33991433,2752400
10/15/01,32.16735665,32.88688637,31.41852142,31.82874964,3271200
10/22/01,31.80921806,32.93246764,31.7082881,32.79898614,2374000
10/29/01,32.68828224,32.68828224,31.29805663,32.26503406,1655200
11/5/01,32.81851771,33.6943326,32.55805329,33.2352608,1119800
11/12/01,32.87712221,34.13712213,32.57758812,33.850608,1097200
11/19/01,34.02316569,34.25758367,33.61944257,34.1566537,577200
11/26/01,34.29339753,34.62549293,33.54781485,33.95153797,1090200
12/3/01,33.75293384,35.13013624,33.58037616,34.85991091,1098600
12/10/01,34.64176544,34.71014061,33.46967878,33.73991062,1220000
12/17/01,33.76270126,34.60269903,33.73991062,34.36828105,988400
12/24/01,34.44442149,35.05226428,34.36272219,34.91828396,532200
12/31/01,34.95096042,35.42808433,34.18625497,35.32678046,2606800
1/7/02,35.53919537,35.53919537,34.55226783,34.56206848,1619200
1/14/02,34.54246392,34.61109133,33.90520938,33.99017338,1488600
1/22/02,34.26468957,34.34638887,33.64377162,34.22220266,279800
1/28/02,34.29736602,34.33658495,32.82023941,33.94115707,1294600
2/4/02,33.92154924,33.92154924,32.6470369,33.11436016,1050800
2/11/02,33.19605946,34.03266029,33.15357582,33.38886981,905800
2/19/02,33.32351037,33.32351037,32.49998143,32.88560212,396200
2/25/02,33.0555334,34.21239875,33.0555334,34.21239875,3011600
3/4/02,34.31370588,35.5163163,34.21566672,35.27448964,1121600
3/11/02,35.29409748,35.51958754,34.90194084,35.2679537,590000
3/18/02,35.49017906,35.56860712,34.59801944,34.90194084,895400
3/25/02,34.93471593,35.08546282,34.3775892,34.77413096,1083600
4/1/02,34.738082,34.89210935,34.08264649,34.24323147,4469800
4/8/02,33.967942,34.55127961,33.77131463,34.03676601,442800
4/15/02,34.06626061,34.69875587,33.71232543,34.46935017,320600
4/22/02,34.36120986,34.36120986,32.95529742,32.95529742,421000
4/29/02,33.08310734,33.75492874,32.73900042,33.03066922,554800
5/6/02,33.10932476,33.52552631,32.26053578,32.44405772,595400
5/13/02,32.59153071,34.01382249,32.47027514,33.9941627,1466000
5/20/02,33.81064076,33.81064076,33.03066922,33.23385751,298600
5/28/02,33.37149897,33.37149897,32.45388925,32.75538959,349400
6/3/02,32.77177547,32.88975387,31.14957259,31.69358734,539600
6/10/02,31.69030688,31.98525614,30.27456618,30.96277347,430800
6/17/02,31.36258913,32.06062795,30.34666737,30.48102509,1679000
6/24/02,30.48102842,30.92140123,29.297934,30.49746024,2774200
7/1/02,30.56318753,30.56318753,28.6439508,30.36271931,1170000
7/8/02,30.36600238,30.41530113,27.68761881,28.41061894,1173800
7/15/02,27.86836884,28.47634294,26.08715942,26.19232307,2615600
7/22/02,26.02800486,26.42236528,24.0200363,26.290914,5172200
7/29/02,26.99747903,28.09513126,26.37635618,26.6031186,2131400
8/5/02,26.48809914,28.08198252,25.69936844,27.86836884,2329000
8/12/02,27.53973242,28.75240411,26.99747903,28.50920987,857200
8/19/02,28.5420768,29.66272043,28.5420768,28.96929758,1951200
8/26/02,29.01859633,29.31436911,27.7894961,28.16743127,2106200
9/3/02,27.70405063,27.78620973,26.93175503,27.67118699,2059400
9/9/02,27.44114149,28.42376768,27.11250506,27.47400842,2593200
9/16/02,27.4674324,27.9012292,25.9951445,26.13973796,1650800
9/23/02,25.96227758,26.49795495,25.3082878,25.63692423,1033000
9/30/02,25.30702566,26.35941642,24.54493822,24.84845754,1120000
10/7/02,24.84185614,25.96353357,23.75316921,25.80847816,3547800
10/14/02,25.55115216,27.26335977,25.5346536,27.17428539,6461200
10/21/02,27.00273802,27.71862885,26.87077267,27.65924593,993000
10/28/02,27.90997712,27.90997712,26.71241821,27.77801177,771000
11/4/02,28.19039318,28.50379976,27.46130615,27.51408437,1267600
11/11/02,27.41511943,28.11121925,26.91695939,28.04193588,2733800
11/18/02,28.30585998,28.89969251,27.54378243,28.73473994,2006400
11/25/02,28.73473994,29.11412754,28.18379178,28.85020344,749400
12/2/02,29.3879488,29.49351514,27.74832031,28.21348654,1222000
12/9/02,27.97595485,28.17389463,27.54707818,27.54707818,2555800
12/16/02,27.74502456,28.22008135,27.30294509,27.73512741,2862200
12/23/02,27.81533513,28.04072486,27.17894996,27.17894996,1436000
12/30/02,27.34467526,28.26610796,26.99665212,28.15672925,3972200
1/6/03,28.37217546,28.85277553,28.13021321,28.71688078,1674200
1/13/03,28.98535578,28.98535578,27.89488327,28.04072486,1660200
1/21/03,28.12358751,28.12358751,26.74806416,26.83755583,935800
1/27/03,26.66520151,26.99996994,26.13488385,26.62874195,1877000
2/3/03,26.74806416,26.91378947,25.75371234,25.81999914,1735400
2/10/03,25.86972005,26.2177465,25.11069484,25.87966357,4598400
2/18/03,26.23431241,26.49947621,25.94926488,26.40335553,1472400
2/24/03,26.3337509,26.35363463,25.48192284,26.2177465,2147000
3/3/03,26.44975862,26.54919711,25.33939908,25.84983633,1363200
3/10/03,25.58135471,26.2243722,24.65661082,26.0520212,6484200
3/17/03,25.96915855,27.86173821,25.7901719,27.84185118,6388800
3/24/03,27.25850142,27.36124779,26.71492242,26.90053145,1981800
3/31/03,26.51795234,27.62910131,26.28506945,27.37626093,2228800
4/7/03,28.11148778,28.21129188,26.90053139,27.07685196,5174600
4/14/03,27.17998286,27.94182414,27.13673775,27.87528142,842200
4/21/03,27.94182414,28.70698225,27.64573865,28.05493213,1775400
4/28/03,28.19133439,29.10620529,28.16138651,29.05963005,1769400
5/5/03,29.14280013,29.38898025,28.84338451,29.25923492,1942600
5/12/03,29.2392741,29.77156595,29.10952877,29.63849049,1036600
5/19/03,29.5420132,29.5420132,28.66373713,29.34905861,1780200
5/27/03,29.27586893,30.42361607,29.19269885,30.36373361,1233600
6/2/03,30.65648897,31.84748788,30.41030886,31.20541484,1545000
6/9/03,31.03907468,31.6379026,30.65648897,31.19876123,1176800
6/16/03,31.37175501,31.98721029,31.32517976,31.37175501,1389400
6/23/03,31.30166595,31.30166595,30.76100713,30.8744761,1167400
6/30/03,31.13813567,31.48522743,30.4840012,31.20488409,866200
7/7/03,31.53862616,32.07261682,31.28498552,31.70883129,1018000
7/14/03,32.08596317,32.27953357,31.11143631,31.53862616,924200
7/21/03,31.44517838,31.74220883,31.00463551,31.72552173,682200
7/28/03,31.75555518,31.98250313,31.20488409,31.20821817,993400
8/4/03,31.15482611,31.37175513,30.58745791,31.04134713,954400
8/11/03,31.10142405,31.62539577,30.97460206,31.52193906,434000
8/18/03,31.57200371,32.4063589,31.57200371,31.80561983,1000400
8/25/03,31.80561983,32.36630651,31.43850354,32.32625746,1265000
9/2/03,32.45308279,33.02711916,32.22279742,32.81018347,1436400
9/8/03,32.89028157,33.14726631,32.28954583,32.73008871,1100600
9/15/03,32.75344732,33.37420758,32.5565395,33.25406043,1046600
9/22/03,33.00708796,33.11388876,31.97249086,31.99251539,1307600
9/29/03,32.05615547,33.37577304,31.764763,33.13127748,969000
10/6/03,33.17816768,33.75759327,33.02744917,33.4394131,820000
10/13/03,33.65712096,34.00879078,33.37912569,33.482954,838000
10/20/03,33.5398921,33.77434312,32.80639536,33.08773323,903600
10/27/03,33.24180439,34.04563308,33.17816768,33.92171232,1212000
11/3/03,34.09252328,34.42410735,33.81453807,34.07912943,1198010
11/10/03,34.15951599,34.48774406,33.74085346,34.04228713,1040400
11/17/03,33.79443557,34.16286194,33.4092694,33.4997005,941600
11/24/03,33.81118542,34.46429561,33.79443557,34.43080595,592600
12/1/03,34.59827096,34.91645448,34.3638233,34.40736085,1336200
12/8/03,34.4274533,34.80592757,34.05568098,34.79922562,1422600
12/15/03,35.11406319,35.2413366,34.46429561,35.11741584,2006400
12/22/03,35.10126793,35.53515337,35.10126793,35.41743497,682200
